0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:50 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:50 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:50 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:54 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:54 +0530] "GET /OnlineBookStore_012113/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:51:57 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:00 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:01 +0530] "GET /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:01 +0530] "GET /OnlineBookStore_012113/updateCust.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9137
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:04 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=4&process=addToCart HTTP/1.1" 200 9244
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
