127.0.0.1 - - [09/Feb/2021:01:03:39 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:40 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:40 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:40 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 200 81569
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_h1_bg.jpg HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_01.jpg HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_02.jpg HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:44 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:55 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=myorderhistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:55 +0530] "GET /OnlineBookStore_012113/MyOrderHistory.jsp HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:57 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:57 +0530] "GET /OnlineBookStore_012113/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/LoginServelt?process=LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:03:59 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:01 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:07 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:09 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:09 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/BookServlet?process=AllBooks HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/booklist.jsp HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [09/Feb/2021:01:04:11 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
