127.0.0.1 - - [17/Mar/2021:16:41:11 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:12 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:12 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:12 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 200 81569
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_h1_bg.jpg HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_02.jpg HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/images/templatemo_btn_01.jpg HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:13 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:16 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 10258
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:22 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:24 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6810
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/BookServlet?process=AllBooks HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/booklist.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:32 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:34 +0530] "GET /OnlineBookStore_012113/BookServlet?bookid=4&process=updateBook HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:34 +0530] "GET /OnlineBookStore_012113/UpdateBook.jsp HTTP/1.1" 200 7271
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:34 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:44 +0530] "POST /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 6479
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 48420
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=21 HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:41:45 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:43:52 +0530] "GET /OnlineBookStore_012113/BookServlet?bookid=4&process=updateBook HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:43:52 +0530] "GET /OnlineBookStore_012113/UpdateBook.jsp HTTP/1.1" 200 7272
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:43:52 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 48420
