127.0.0.1 - - [21/Oct/2020:11:02:15 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /OnlineBookStore_012113/header..jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 200 81569
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:02:23 +0530] "GET /OnlineBookStore_012113/index.html HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:03:17 +0530] "GET /OnlineBookStore_012113/header..jsp HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:23 +0530] "GET /OnlineBookStore_012113/header..jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:23 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:23 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:23 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:23 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:07:25 +0530] "GET /OnlineBookStore_012113/subpage.html HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:19:02 +0530] "GET /OnlineBookStore_012113/footer.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:19:02 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:19:58 +0530] "GET /OnlineBookStore_012113/footer.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:21:32 +0530] "GET /OnlineBookStore_012113/footer.jsp HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:23:41 +0530] "GET /OnlineBookStore_012113/footer.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:23:42 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:29:36 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:14 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:14 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:14 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:14 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:14 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:31:33 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:33:28 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:34:52 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:16 +0530] "GET /OnlineBookStore_012113/UpdateBook.jsp HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:16 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid= HTTP/1.1" 500 1719
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:41 +0530] "GET /OnlineBookStore_012113/UpdateBook.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:41 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:41 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid= HTTP/1.1" 500 1719
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:55 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:55 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:55 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:35:55 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:36:12 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "POST /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=3 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=11 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=6 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/BookServlet?bookid=11&process=updateBook HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/UpdateBook.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:26 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=11 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "POST /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=3 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=6 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:37 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=11 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/BookServlet?bookid=11&process=deleteBook HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=6 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:44 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=3 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:52 +0530] "GET /OnlineBookStore_012113/BookServlet?bookid=8&process=deleteBook HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:52 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=3 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:52 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:52 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=6 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:39:52 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:41:53 +0530] "GET /OnlineBookStore_012113/header.jsp HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:42:15 +0530] "GET /OnlineBookStore_012113/header.jsp HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:42:19 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:42:21 +0530] "GET /OnlineBookStore_012113/addBook.jsp HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:43:07 +0530] "GET /OnlineBookStore_012113/addCustomer.jsp HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:43:24 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:44:58 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:44:58 +0530] "GET /OnlineBookStore_012113/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:44:58 +0530] "GET /OnlineBookStore_012113/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:44:58 +0530] "GET /OnlineBookStore_012113/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:44:58 +0530] "GET /OnlineBookStore_012113/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:45:06 +0530] "GET /OnlineBookStore_012113/CustomerServlet?cid=27&process=deleteCust HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:45:53 +0530] "GET /OnlineBookStore_012113/CustomerServlet?cid=28&process=updateCust HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:45:54 +0530] "GET /OnlineBookStore_012113/updateCust.jsp HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:46:14 +0530] "POST /OnlineBookStore_012113/CustomerServlet HTTP/1.1" 200 3350
