0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:51 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=myorderhistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:51 +0530] "GET /OnlineBookStore_012113/MyOrderHistory.jsp HTTP/1.1" 200 3842
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/LoginServelt?process=LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:53 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:55 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
